address;price;city;model;image;url;availability;
Maarukankuja 8;910 €/mes;Vantaa;Kaksio 61 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/87747f49-6e76-4e47-b8f8-67840dc87d1c/1440x960.jpg;https://oma.avara.fi/listing/2f09e874-020f-4588-a264-7b69252f7c4b;Immediatamente disponible;
Kvartsiraitti 10;1296 €/mes;Vantaa;Kolmio 74 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/be60ae75-2c20-415a-ac6c-340bac8bce76/1440x960.jpg;https://oma.avara.fi/listing/3098fddc-dc28-4561-8cbd-f4a076c75556;Immediatamente disponible;
Laakavuorentie 11;985 €/mes;Helsinki;Kaksio 51.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/24642e0a-ebd3-4883-8a2c-7bbe3b895c97/1440x960.jpg;https://oma.avara.fi/listing/312ef7fd-9f4e-412e-8bc7-983c69263a40;Immediatamente disponible;
Kirstinmäki 6;707 €/mes;Espoo;Yksiö 30 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/b87c8e48-0e0d-4cb0-838b-ebaa7ae7839d/1440x960.jpg;https://oma.avara.fi/listing/33caabef-0800-44df-a3bf-c052920c73a1;Immediatamente disponible;
Agronominraitti 2;1139 €/mes;Helsinki;Kaksio 55 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/44eb6b5a-ec87-452e-aab6-b1dfae09ded6/1440x960.jpg;https://oma.avara.fi/listing/34406f34-1640-42a2-bfea-956bc0106d73;Immediatamente disponible;
Toini Muonan katu 3 a;1109 €/mes;Helsinki;Kaksio 47 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/7d177c24-c3cd-4663-b29c-2e4d92a5db10/1440x960.jpg;https://oma.avara.fi/listing/34519483-3b00-4024-b53e-68854b2f77a4;Immediatamente disponible;
Agronominraitti 2;1148 €/mes;Helsinki;Kaksio 56 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/465671e1-f308-40bb-bf06-b3eab821fb98/1440x960.jpg;https://oma.avara.fi/listing/3f388dc2-33b3-41aa-bb90-6422ce86e86f;Immediatamente disponible;
Maarukankuja 8;835 €/mes;Vantaa;Kaksio 48.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/899d37d7-82d8-4def-b4b6-b707f98f5bd6/1440x960.jpg;https://oma.avara.fi/listing/44793272-e142-4df6-bb95-da6996fd319e;Immediatamente disponible;
Retkeilijänkatu 15;835 €/mes;Helsinki;Yksiö 28 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/1f019dc8-ebf3-4b40-b3df-51234c911228/1440x960.jpg;https://oma.avara.fi/listing/44db5f9d-0313-4afd-94aa-4a51e16199f8;Immediatamente disponible;
Varimesokaarre 7;802 €/mes;Vantaa;Kaksio 40 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/736f0ffc-9c8e-4b7a-9d90-5107f375d515/1440x960.jpg;https://oma.avara.fi/listing/4691c394-762c-4878-a2c1-8c4128f8cca6;Immediatamente disponible;
Nurmilinnuntie 2;1499 €/mes;Espoo;Kolmio 76.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/5f39f609-bc6b-45bb-9dcf-2a8ad5f9b24b/1439x959.jpg;https://oma.avara.fi/listing/4b71a472-89c1-4e06-ac95-b29d4d2041a3;Immediatamente disponible;
Retkeilijänkatu 13;817 €/mes;Helsinki;Yksiö 35.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/0e700d40-e38f-49d9-b1f3-a87c30806224/1440x960.jpg;https://oma.avara.fi/listing/51eda213-1090-4d2e-8fed-d17090933934;Immediatamente disponible;
Agronominraitti 2;1392 €/mes;Helsinki;Kolmio 73.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/b99214ef-ad8a-43c9-aaab-f2c0d88bba43/1440x960.jpg;https://oma.avara.fi/listing/52eace7e-b4ec-4f69-88dc-54ebcd99c34f;Immediatamente disponible;
Tarhurintie 2;783 €/mes;Vantaa;Kaksio 39 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/cefd70ff-1c1f-4510-8552-81a134a1b767/1440x960.jpg;https://oma.avara.fi/listing/5364f801-fc5f-49ba-a708-84b172d125ab;Immediatamente disponible;
Ruoholahdenkatu 24;1316 €/mes;Helsinki;Yksiö 55 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/f94219cc-d0ae-4f4b-8db5-d48162db4225/1440x960.jpg;https://oma.avara.fi/listing/545cd6f7-e5ce-4470-8ed5-2f547277df03;Immediatamente disponible;
Kvartsiraitti 10;899 €/mes;Vantaa;Kaksio 48.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/ce5864cb-2232-4a15-8e75-9b4b05755a14/1440x960.jpg;https://oma.avara.fi/listing/5824e10e-a65e-4e46-b641-974d81fee8b1;Immediatamente disponible;
Varimesokaarre 7;820 €/mes;Vantaa;Kaksio 47 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/b8a0d9b1-d21f-4571-8af1-88a8f7771766/1440x960.jpg;https://oma.avara.fi/listing/5e4880ed-2fe6-4404-9535-85ac5c787ae9;Immediatamente disponible;
Vanha talvitie 3;1657 €/mes;Helsinki;Kolmio 60.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/92711023-40c6-41c2-b004-c2b54a16b720/1440x960.jpg;https://oma.avara.fi/listing/5ed5c1f7-3e60-4bc2-a6e7-2e1cc3a08ac9;Immediatamente disponible;
Kirstinmäki 6;716 €/mes;Espoo;Yksiö 30 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/2d3371d4-9859-4801-a4fc-ec929eddc918/1440x960.jpg;https://oma.avara.fi/listing/63e75f0e-709c-4f96-9df8-ebec3407810c;Immediatamente disponible;
Sopulirinne 2;960 €/mes;Helsinki;Kaksio 47.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/04c14e25-2ba9-456d-8d3b-6e399f9aee8b/1440x960.jpg;https://oma.avara.fi/listing/642bebd9-c662-42db-b376-8d3ef1c5eac3;Immediatamente disponible;
Varimesokaarre 7;793 €/mes;Vantaa;Kaksio 40.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/2e088401-2ddb-4f26-b2ad-ff8f263143da/1440x960.jpg;https://oma.avara.fi/listing/658948f6-d4e9-4937-a914-596b231fdd27;Immediatamente disponible;
Von Daehnin katu 7;1360 €/mes;Helsinki;Kolmio 77 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/b0df1fd6-2361-47c6-9d1a-c4bbc4aae915/1440x960.jpg;https://oma.avara.fi/listing/6928911e-4cc1-40a8-aeb7-ca377e38369b;Immediatamente disponible;
Kirstinmäki 6;822 €/mes;Espoo;Kaksio 43 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/1d13ce19-932f-41c8-ac5c-df61e5c71e16/1439x959.jpg;https://oma.avara.fi/listing/6e57e737-9fdb-4b17-80ba-f54094ca1c13;Immediatamente disponible;
Postiljooninkatu 11;1128 €/mes;Helsinki;Kaksio 44.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/96f6a3dd-d7d6-423f-8780-015e2ec7c534/1440x960.jpg;https://oma.avara.fi/listing/6ec2c139-7929-48e5-880f-83931e531b8c;Immediatamente disponible;
Mestarinkatu 12;843 €/mes;Espoo;Yksiö 38 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/28d97406-09be-4e80-905c-901b4a9a4259/1440x960.jpg;https://oma.avara.fi/listing/70e05328-5e42-489d-888a-8b5b2f045f8f;Immediatamente disponible;
Puunhaltijankuja 5;872 €/mes;Vantaa;Kaksio 43 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/d05dd1e9-087a-4e5c-87c8-b9e0e9386b81/1440x959.jpg;https://oma.avara.fi/listing/72526291-9411-40ed-913b-8611d6e8bc30;Immediatamente disponible;
Kvartsiraitti 10;780 €/mes;Vantaa;Yksiö 29.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/07823e99-3d62-4167-bc32-044b54bbf335/1440x960.jpg;https://oma.avara.fi/listing/72cc9087-39d2-47d1-aed8-15bb77a9e1ce;Immediatamente disponible;
Puunhaltijankuja 5;898 €/mes;Vantaa;Kaksio 43 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/38c23751-502e-4828-9c5e-f5b842b2d9d3/1440x959.jpg;https://oma.avara.fi/listing/7a4ea762-07e2-421f-a828-93a10fc827d9;Immediatamente disponible;
Varimesokaarre 7;781 €/mes;Vantaa;Kaksio 38 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/952b5c6a-be86-45dd-94f8-a7111fe302a9/1440x960.jpg;https://oma.avara.fi/listing/7a6836f5-12d5-468a-aa6d-17059ad7753d;Immediatamente disponible;
Retkeilijänkatu 15;1374 €/mes;Helsinki;Kolmio 64.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/b03187cd-6835-4fbb-8fa9-bfec44792d7b/1440x960.jpg;https://oma.avara.fi/listing/7c6b7c0a-f11a-4e3e-aa6d-1ff73bcfef7b;Immediatamente disponible;
Tarhurintie 2;884 €/mes;Vantaa;Kaksio 54 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/4bade231-6d0a-4e8e-934a-a645f28f82bd/2000x1333.jpg;https://oma.avara.fi/listing/7cd3f6a0-26e0-4e7d-a9a4-68fe5cae8e8d;Immediatamente disponible;
Agronominraitti 2;1397 €/mes;Helsinki;Kolmio 73.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/22c82b7c-d885-4793-819a-baeeaa337282/1440x960.jpg;https://oma.avara.fi/listing/7e3c7cfb-1ee5-48e7-916f-f4fab12d56f4;Immediatamente disponible;
Toini Muonan katu 3 a;1037 €/mes;Helsinki;Yksiö 43 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/99d34a10-5f7f-4c54-a696-33c7f5f62e31/1440x960.jpg;https://oma.avara.fi/listing/7f9eb671-8e71-4f38-bc48-f0f63dc249c1;Immediatamente disponible;
Von Daehnin katu 7;1626 €/mes;Helsinki;4 85.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/fac96545-f7dc-4a49-bb31-d0e2b2f3146b/1440x960.jpg;https://oma.avara.fi/listing/877c1eba-8dd0-4539-a45c-811bcdcc7891;Immediatamente disponible;
Maarukankuja 8;825 €/mes;Vantaa;Kaksio 48.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/9cf07851-0be6-4a7f-a0dc-a49068bbad69/1440x960.jpg;https://oma.avara.fi/listing/8840706a-7271-4834-94e4-1147763c0505;Immediatamente disponible;
Peijinkatu 6;761 €/mes;Espoo;Yksiö 29 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/9cbfac0b-70bd-4f55-883d-f9519fa223ca/1438x959.jpg;https://oma.avara.fi/listing/8a16625e-508a-45d6-999e-73ab2aead500;Immediatamente disponible;
Suezinkatu 3;1875 €/mes;Helsinki;Kolmio 89 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/ce12a127-a246-4a7d-9903-a77b94106c9c/1440x960.jpg;https://oma.avara.fi/listing/8ac5088f-dfbf-4cac-bc30-d76b582a2633;Immediatamente disponible;
Tarhurintie 2;851 €/mes;Vantaa;Kaksio 49 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/db337748-57f7-495e-bb6f-b52f359f53ea/1500x1000.jpg;https://oma.avara.fi/listing/91d770b8-00de-40f2-b08c-93c93a109424;Immediatamente disponible;
Peijinkatu 6;717 €/mes;Espoo;Yksiö 28.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/caac55b4-832f-45f7-82fe-7e2563c8059d/1435x956.jpg;https://oma.avara.fi/listing/91ef6433-8499-4424-9f74-e5b8a2ad9620;Immediatamente disponible;
Varimesokaarre 7;781 €/mes;Vantaa;Kaksio 40 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/5ab7e5d8-fcab-4940-9074-58bbdc85087c/1440x960.jpg;https://oma.avara.fi/listing/92fdcf10-ce32-42d3-8784-c6f5c0c49961;Immediatamente disponible;
Kvartsiraitti 10;770 €/mes;Vantaa;Yksiö 29.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/3dc66f44-47c7-4c1d-a5cb-5148bf1df7fc/1440x960.jpg;https://oma.avara.fi/listing/939256ff-8fc8-41f2-af83-882c64be1b91;Immediatamente disponible;
Kvartsiraitti 10;823 €/mes;Vantaa;Kaksio 48 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/89c6df7e-4d54-4488-91f4-55bd852785b4/1438x959.jpg;https://oma.avara.fi/listing/94338a80-0450-4d3b-901c-b528490974b3;Immediatamente disponible;
Kvartsiraitti 10;917 €/mes;Vantaa;Kaksio 48.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/f01117ff-c215-4938-bccd-1801ef36104e/1440x960.jpg;https://oma.avara.fi/listing/9a49fc3d-1a0c-4992-9f08-cfecee24d566;Immediatamente disponible;
Kirstinmäki 6;750 €/mes;Espoo;Yksiö 30 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/26a2c050-88c5-47a2-8bdd-1c4eb4755437/1438x959.jpg;https://oma.avara.fi/listing/9b4e7e35-f7ba-4801-9eef-97be7df4ef22;Immediatamente disponible;
Topaasipolku 4;830 €/mes;Vantaa;Kaksio 55 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/3f81b383-5cc8-4990-b5bd-c9885c4216b3/1438x959.jpg;https://oma.avara.fi/listing/9c6e5431-103c-4f36-8e59-c1f5947ce53a;Immediatamente disponible;
Laakavuorentie 11;975 €/mes;Helsinki;Kaksio 55 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/0d2a1ee6-24e2-45c3-b2ff-b6ca652a345e/1438x959.jpg;https://oma.avara.fi/listing/9c9b88bb-b086-4627-acc9-b9f382731561;Immediatamente disponible;
Retkeilijänkatu 15;848 €/mes;Helsinki;Yksiö 31.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/500a8c1a-41ab-4944-b001-9694ec521952/1440x960.jpg;https://oma.avara.fi/listing/a165b217-c494-4b77-ac56-44c5cd9252e0;Immediatamente disponible;
Kvartsiraitti 10;823 €/mes;Vantaa;Kaksio 48.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/e1fec81b-30fa-4997-a292-8d754453330b/1438x959.jpg;https://oma.avara.fi/listing/a49b79ab-5b9d-48b5-9177-f423f3850572;Immediatamente disponible;
Peijinkatu 6;706 €/mes;Espoo;Yksiö 28.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/884df5f4-f8bd-4793-80d4-528a63577ac9/1435x956.jpg;https://oma.avara.fi/listing/a89b5c11-1e8d-49e1-963b-31be03140a30;Immediatamente disponible;
Von Daehnin katu 7;1421 €/mes;Helsinki;Kolmio 75 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/faab4f23-46fe-4127-9aa9-22c5101a09cb/1440x960.jpg;https://oma.avara.fi/listing/a8a85666-84f7-4a81-9480-dd005cb776cb;Immediatamente disponible;
Maarukankuja 8;1010 €/mes;Vantaa;Kolmio 70.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/2afbd5d4-4e6e-4ad1-b53a-670e534777ca/1440x960.jpg;https://oma.avara.fi/listing/a993c5c4-dd8c-40a8-bc0c-cb9e6765ed1b;Immediatamente disponible;
Von Daehnin katu 7;944 €/mes;Helsinki;Yksiö 38.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/3ce2e960-3a50-454c-93d7-654cb2f2cf30/1440x960.jpg;https://oma.avara.fi/listing/aab77c91-3133-42b8-b03a-57f533e8f9d5;Immediatamente disponible;
Von Daehnin katu 7;1050 €/mes;Helsinki;Kaksio 47.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/db66675a-eb5c-45e8-88f6-bb4480d44c6a/1440x960.jpg;https://oma.avara.fi/listing/b0c57281-d02f-4e9c-bf54-e69f2ce03c15;Immediatamente disponible;
Tuomarilankatu 5;830 €/mes;Espoo;Yksiö 42 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/46a337a7-7ee2-4a04-b50f-ae767744b9a1/1440x960.jpg;https://oma.avara.fi/listing/b1c6de06-d246-49ed-8134-a2ca145a7efe;Immediatamente disponible;
Agronominraitti 2;1038 €/mes;Helsinki;Kaksio 48.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/dbe3c1b3-1a9c-485e-b932-8b12ec32f70c/1440x960.jpg;https://oma.avara.fi/listing/b208be7c-458d-40ac-ae95-7d18495598b5;Immediatamente disponible;
Kvartsiraitti 10;895 €/mes;Vantaa;Kaksio 48.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/09c50d10-e0e4-4182-89cf-c08c2d2deeab/1440x960.jpg;https://oma.avara.fi/listing/b5d8afc4-4185-4657-9380-efb5366cee11;Immediatamente disponible;
Koskelantie 64b;1019 €/mes;Helsinki;Kaksio 42.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/04993df3-0d99-4e8e-9a8b-892af4bc04bf/1440x960.jpg;https://oma.avara.fi/listing/bdbd0ea6-d9a2-4791-9c0d-ea2ee2572b25;Immediatamente disponible;
Von Daehnin katu 7;940 €/mes;Helsinki;Kaksio 45 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/6ddf4809-6cfe-4999-b991-fcadcc1ec64c/1440x960.jpg;https://oma.avara.fi/listing/c060fa28-e5bf-4447-88da-ec25108c65eb;Immediatamente disponible;
Suezinkatu 3;1222 €/mes;Helsinki;Kaksio 53.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/6aea082d-c283-4db0-b911-c8fd6239b0c6/1440x960.jpg;https://oma.avara.fi/listing/c1f2360d-2488-4067-af8d-621a0b90e8cc;Immediatamente disponible;
Sopulirinne 2;1025 €/mes;Helsinki;Kaksio 47.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/99b11436-cf39-41f9-9f95-25bb3fb8d38a/1440x960.jpg;https://oma.avara.fi/listing/c3157e84-01d5-4c58-ab1c-6ce12696a93b;Immediatamente disponible;
Maarukankuja 8;1040 €/mes;Vantaa;Kaksio 60.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/ce4320b1-3014-4771-b4e2-fe45c5b94095/1437x958.jpg;https://oma.avara.fi/listing/c481b752-1844-4eea-89c8-a4c41458cac9;Immediatamente disponible;
Kvartsiraitti 10;899 €/mes;Vantaa;Kaksio 48.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/a9ddac19-28c1-44f1-9fe6-75f54c9db1a9/1440x960.jpg;https://oma.avara.fi/listing/c4bc631e-196d-4be8-b18a-f3e86c8dffdd;Immediatamente disponible;
Kvartsiraitti 10;756 €/mes;Vantaa;Yksiö 29 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/b94c2c54-a957-42dc-9795-69fae0b057cc/1440x960.jpg;https://oma.avara.fi/listing/c5ad5cd7-4838-4088-b661-d5618bf476fd;Immediatamente disponible;
Peijinkatu 6;882 €/mes;Espoo;Kaksio 44.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/11753274-e63e-4614-b2d1-ec2ed3c64306/1438x959.jpg;https://oma.avara.fi/listing/c5d9ee5d-9813-490f-93e7-7fe21c5668b5;Immediatamente disponible;
Tarhurintie 2;1142 €/mes;Vantaa;Kolmio 70 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/7f9d630f-801b-4bd1-ad0f-687c749e8a2d/1600x1066.jpg;https://oma.avara.fi/listing/c63301d6-21e1-41c4-b141-5d2b2fd90835;Immediatamente disponible;
Varimesokaarre 7;801 €/mes;Vantaa;Kaksio 40 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/2d857d11-edcd-44ee-8b0c-0164e3a6c6d6/1440x960.jpg;https://oma.avara.fi/listing/c6d5010a-35fa-4b71-8892-a4bbe42c71f3;Immediatamente disponible;
Varimesokaarre 7;799 €/mes;Vantaa;Kaksio 47 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/793a7a60-5813-4669-a072-5c47bc2edc5c/1440x960.jpg;https://oma.avara.fi/listing/c7a93fa8-42d6-4c30-bec6-9e23b0ae7865;Immediatamente disponible;
Kvartsiraitti 10;823 €/mes;Vantaa;Kaksio 48.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/a1e40baf-d207-4a70-9029-8eb778a162c9/1440x960.jpg;https://oma.avara.fi/listing/c89a3e31-b5b2-4e0d-b07b-39263152c35b;Immediatamente disponible;
Tarhurintie 2;1133 €/mes;Vantaa;Kolmio 71 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/cec08041-61c7-4d07-b017-85b34f73894b/3500x2333.jpg;https://oma.avara.fi/listing/c9c05e45-9ce5-43ae-8f78-f11b4f0f49ad;Immediatamente disponible;
Laakavuorentie 11;1352 €/mes;Helsinki;Kolmio 80 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/43a1ad49-1be5-4e01-a217-482450e94983/1440x960.jpg;https://oma.avara.fi/listing/ca9710c5-e292-49e0-984d-74e725b472d7;Immediatamente disponible;
Peijinkatu 6;722 €/mes;Espoo;Yksiö 28.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/73cd1436-980d-4d7d-a99b-7591668a66a4/1435x956.jpg;https://oma.avara.fi/listing/cbbf3dea-a41b-47bf-82fd-01a03655e764;Immediatamente disponible;
Koskelantie 64b;1071 €/mes;Helsinki;Kaksio 41 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/3db684b0-2c48-48b3-b921-69afef1214e9/1440x960.jpg;https://oma.avara.fi/listing/cdd3cca3-fc20-412e-b3c6-b652d132aa53;Immediatamente disponible;
Kolmas linja 17;1194 €/mes;Helsinki;Kaksio 52.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/2c38b403-0adf-4d91-8d3d-aa046e4aedb0/1438x959.jpg;https://oma.avara.fi/listing/ce1a93bd-7e45-43ee-8408-f71e27e67925;Immediatamente disponible;
Mestarinkatu 12;911 €/mes;Espoo;Yksiö 42.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/7fb50ecf-96f0-4a87-85c4-e5e382915488/1440x960.jpg;https://oma.avara.fi/listing/d0a53043-04bb-4a95-8028-8784fbd564b8;Immediatamente disponible;
Von Daehnin katu 7;940 €/mes;Helsinki;Kaksio 45 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/9bc8b570-3335-4e1e-8a5e-59a525bf9b14/1440x960.jpg;https://oma.avara.fi/listing/d2ff4004-f920-42f6-8cc5-576644af2f0c;Immediatamente disponible;
Retkeilijänkatu 13;927 €/mes;Helsinki;Kaksio 44 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/002c233b-dc02-4353-91d4-52586c51f54b/1347x898.jpg;https://oma.avara.fi/listing/d6a9dab5-20e7-4692-bb8d-1a0d42a6dca4;Immediatamente disponible;
Tarhurintie 2;758 €/mes;Vantaa;Yksiö 36 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/fbdfc336-cc6d-4dff-b9e1-fe381edbd6ee/1440x960.jpg;https://oma.avara.fi/listing/def2ca2a-0a68-4774-925a-c42387378f2a;Immediatamente disponible;
Agronominraitti 2;975 €/mes;Helsinki;Kaksio 49 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/c248145b-4893-472e-abab-5d84fcf746af/1440x960.jpg;https://oma.avara.fi/listing/e223d8d5-f1a5-4911-9497-c749b7ea573f;Immediatamente disponible;
Tarhurintie 2;1173 €/mes;Vantaa;Kolmio 75.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/ea63ca99-57ac-4038-a015-e37e24f5ab1f/1500x1000.jpg;https://oma.avara.fi/listing/e65bb860-6845-4d97-b24e-46139495370b;Immediatamente disponible;
